No. Faktur;Tgl Faktur;Keterangan Barang;Kuantitas;Unit 1 Barang; Jumlah ;Keterangan;
CASH.01.072025.0007;01 Jul 2025;DULUX PENTALITE BASE C;2.00;GLN; 444,000.00 ;;
CASH.01.072025.0014;01 Jul 2025;"KUAS BIASA 3""";1.00;PCS; 6,000.00 ;;21802
CASH.01.072025.0014;01 Jul 2025;"PAKU 4""";2.00;KG; 32,000.00 ;;
CASH.01.072025.0014;01 Jul 2025;"PAKU 3""";2.00;KG; 32,000.00 ;;
CASH.01.072025.0014;01 Jul 2025;"PAKU 1 3/4""";1.00;KG; 18,000.00 ;;
CASH.01.072025.0014;01 Jul 2025;BENDRAT BIASA;10.00;BDL; 150,000.00 ;;
CASH.01.072025.0015;01 Jul 2025;OVERPAL VOXY/HORISSON 500;1.00;PCS; 8,000.00 ;;
CASH.01.072025.0015;01 Jul 2025;SIKA TOP 107 SEAL (AB) @25 KG;1.00;SET; 325,000.00 ;;
CASH.01.072025.0016;01 Jul 2025;PAKU KALSIBOARD;0.10;KG; 5,000.00 ;;
CASH.01.072025.0016;01 Jul 2025;TALANG GALVALUM 0.25X60;3.00;MTR; 69,000.00 ;;
CASH.01.072025.0017;01 Jul 2025;MAWAR 3510 SWEET BLUE;4.00;GLN; 240,000.00 ;;
CASH.01.072025.0018;01 Jul 2025;"KUAS ETERNA 2""";1.00;PCS; 9,000.00 ;;
CASH.01.072025.0018;01 Jul 2025;CORNICE A PLUS @1 KG PACK;5.00;PCS; 40,000.00 ;;
CASH.01.072025.0018;01 Jul 2025;AMPLAS ROL 150;1.00;MTR; 7,000.00 ;;
CASH.01.072025.0023;01 Jul 2025;LEM PVC ISCO TUBE;1.00;PCS; 7,000.00 ;;
CASH.01.072025.0026;01 Jul 2025;PASIR SEKROP;5.00;SKP; 30,000.00 ;;
CASH.01.072025.0027;01 Jul 2025;LEM RAJAWALI PVAC;1.00;PCS; 18,500.00 ;;
CASH.01.072025.0027;01 Jul 2025;AMPLAS ROL 60;1.00;MTR; 7,000.00 ;;
CASH.01.072025.0029;01 Jul 2025;NIPPON ELASTEX @1KG WHITE;1.00;KLG; 55,000.00 ;;
CASH.01.072025.0029;01 Jul 2025;PLAMIR MASTER PUTIH 1KG;1.00;PCS; 16,000.00 ;;
CASH.01.072025.0034;01 Jul 2025;NIPPE 2000 470 WHITE @1 KG;2.00;KLG; 170,000.00 ;;
CASH.01.072025.0034;01 Jul 2025;SIKAT MANGKOK;1.00;PCS; 9,000.00 ;;
CASH.01.072025.0034;01 Jul 2025;THINNER A SPC DRUM ECERAN;3.00;LTR; 55,500.00 ;;
CASH.01.072025.0038;01 Jul 2025;LEM ALTECO 110;1.00;PCS; 6,000.00 ;;
CASH.01.072025.0039;01 Jul 2025;LEM ALTECO 110;-1.00;PCS; -6,000.00 ;;
CASH.01.072025.0040;01 Jul 2025;LEM G;1.00;PCS; 8,000.00 ;;
CASH.01.072025.0041;01 Jul 2025;SOK 3/4 MASP;2.00;PCS; 4,000.00 ;;
CASH.01.072025.0041;01 Jul 2025;KENI 3/4 MASP;7.00;PCS; 24,500.00 ;;
CASH.01.072025.0041;01 Jul 2025;THINNER A SPC DRUM ECERAN;1.00;LTR; 18,500.00 ;;
CASH.01.072025.0042;01 Jul 2025;LEM RAJAWALI PVAC;1.00;PCS; 18,500.00 ;;
CASH.01.072025.0042;01 Jul 2025;SEMEN ACIAN TR 30 ECERAN;5.00;KG; 25,000.00 ;;
CASH.01.072025.0045;01 Jul 2025;SOK 3/4 MASP;-2.00;PCS; -4,000.00 ;;
CASH.01.072025.0046;01 Jul 2025;GEMBOK HPP/VERRIZ 40MM L PENDEK;2.00;PCS; 46,000.00 ;;
CASH.01.072025.0050;01 Jul 2025;CORNICE A PLUS @1 KG PACK;1.00;PCS; 8,000.00 ;;
CASH.01.072025.0050;01 Jul 2025;AMPLAS 180;1.00;LBR; 5,000.00 ;;
CASH.01.072025.0051;01 Jul 2025;GEMBOK ONAT 30 MM LEHER PANJANG;1.00;PCS; 19,000.00 ;;
CASH.01.072025.0051;01 Jul 2025;ALTEX 67 GOLDEN YELLOW @1 KG;1.00;KLG; 72,000.00 ;;
CASH.01.072025.0057;01 Jul 2025;DULUX ALKALI PRIMER EXTERIOR 2.5 L;1.00;GLN; 176,000.00 ;;
CASH.01.072025.0057;01 Jul 2025;KAPI PVC 7;2.00;PCS; 6,000.00 ;;
CASH.01.072025.0057;01 Jul 2025;THINNER B BOTOL 1/2 L;1.00;KLG; 10,500.00 ;;
CASH.01.072025.0057;01 Jul 2025;EMCO 87 COFFE BROWN;1.00;KLG; 75,000.00 ;;
CASH.01.072025.0057;01 Jul 2025;PLAMIR MASTER PUTIH 1KG;1.00;PCS; 16,000.00 ;;
CASH.01.072025.0057;01 Jul 2025;DULUX WEATHERSHIELD PRO BASE D;1.00;GLN; 415,000.00 ;;
CASH.01.072025.0065;01 Jul 2025;SIFON WASTAFEL PLASTIK;1.00;PCS; 30,000.00 ;;
CASH.01.072025.0066;01 Jul 2025;AQUAPROOF ABU @1 KG;1.00;KLG; 56,500.00 ;;
CASH.01.072025.0067;01 Jul 2025;GEMBOK HPP/VERRIZ 40MM L PENDEK;1.00;PCS; 23,000.00 ;;
CASH.01.072025.0067;01 Jul 2025;BIO DS DECOMPOSING @1 LITER;1.00;PCS; 32,000.00 ;;
CASH.01.072025.0069;01 Jul 2025;PAKU BETON 21/2 ECERAN;5.00;PCS; 2,000.00 ;;
CASH.01.072025.0070;01 Jul 2025;PAKU KALSIBOARD;2.00;KG; 50,000.00 ;;
CASH.01.072025.0072;01 Jul 2025;KAWAT LAS RD 460 2 MM;0.50;KG; 20,000.00 ;;
CASH.01.072025.0076;01 Jul 2025;HOLLO G TUBE 2X4X0.4;5.00;LJR; 125,000.00 ;;
CASH.01.072025.0077;01 Jul 2025;LEM FOX 70 GRAM;1.00;PCS; 11,000.00 ;;
CASH.01.072025.0087;01 Jul 2025;POMPA SHIMITZU JET 108;1.00;PCS; 833,500.00 ;;
CASH.01.072025.0088;01 Jul 2025;KAWAT 16 TANGGUNG;5.00;MTR; 5,000.00 ;;
CASH.01.072025.0089;01 Jul 2025;KRAN TAMAN CAB/EDO BALING 1/2;1.00;PCS; 32,000.00 ;;
CASH.01.072025.0089;01 Jul 2025;KRAN TAMAN EDO ENGKOL 3/4;2.00;PCS; 64,000.00 ;;
CASH.01.072025.0089;01 Jul 2025;LEM PVC ISARPLAS TUBE 45 GRAM;1.00;PCS; 10,000.00 ;;
CASH.01.072025.0091;01 Jul 2025;PARAGON 397 SUEDE @5 KG;1.00;GLN; 125,000.00 ;;
CASH.01.072025.0091;01 Jul 2025;NIPPON HYDRO FAST BASE ACCENT 2.15L;1.00;GLN; 181,000.00 ;;
CASH.01.072025.0094;01 Jul 2025;NIPPON ELASTEX @4KG WHITE;1.00;GLN; 195,000.00 ;;
CASH.01.072025.0094;01 Jul 2025;NIPPON ELASTEX BASE PASTEL @1 KG;1.00;KLG; 80,000.00 ;;
CASH.01.072025.0094;01 Jul 2025;NIPPON ELASTEX BASE PASTEL @4 KG;2.00;GLN; 492,000.00 ;;
CASH.01.072025.0095;01 Jul 2025;MATABOR HITAM NACHI 4 MM;1.00;PCS; 27,000.00 ;;
CASH.01.072025.0101;01 Jul 2025;LEM SILICONE E-SEALANT NETRAL CLEAR;1.00;PCS; 32,000.00 ;;
CASH.01.072025.0101;01 Jul 2025;KENI 3 D MASP;3.00;PCS; 36,000.00 ;;
CASH.01.072025.0101;01 Jul 2025;SERAT FIBER;2.00;LBR; 5,000.00 ;;
CASH.01.072025.0101;01 Jul 2025;"CORONG TALANG KARET 3""";1.00;PCS; 7,500.00 ;;
CASH.01.072025.0101;01 Jul 2025;"TEE 3""";1.00;PCS; 14,000.00 ;;
CASH.01.072025.0103;01 Jul 2025;"KRAN PVC ISCO 1/2""";1.00;PCS; 15,000.00 ;;
CASH.01.072025.0103;01 Jul 2025;LEM PVC ISARPLAS TUBE 45 GRAM;1.00;PCS; 10,000.00 ;;
